title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
Pen 1 Grand Prix: Penguin no Mondai Special,DS,Fighting,Konami,Konami,,0.16,,0.16,,,2009-12-17
Guilty Gear Judgment,PSP,Fighting,Majesco,Arc System Works,7.5,0.16,0.13,0.02,0,0.01,2006-09-05
Naruto Shippuden: Ultimate Ninja Storm Legacy,PS4,Fighting,Namco Bandai Games,CyberConnect2,,0.16,0.07,0.03,0.04,0.02,2017-08-25
Custom Robo Arena,DS,Fighting,Nintendo,Noise Inc.,7.4,0.16,0.01,0.12,0.02,0,2007-03-19
Saturday Night Slam Masters,SNES,Fighting,Capcom,Capcom,,0.16,,0.16,,0,1994-06-01
Psychic Force,PS,Fighting,Acclaim Entertainment,Taito Corporation,,0.16,0.01,0.13,0.01,0.01,1996-10-03
We Dance,Wii,Misc,Nordic Games,Nordic Games,3.5,0.16,,,0.14,0.02,2011-09-02
Create,PS3,Misc,Electronic Arts,EA Bright Light,6.4,0.16,0.11,,0.03,0.02,2010-11-16
Michael Jackson: The Experience,PSP,Misc,Ubisoft,Ubisoft Montreal,,0.16,0.11,,0.03,0.03,2010-11-23
Midway Arcade Treasures 3,PS2,Misc,Midway Games,Digital Eclipse,,0.16,0.08,,0.06,0.02,2005-09-27
DS Rakubiki Jiten,DS,Misc,Nintendo,Nintendo,,0.16,,0.16,,,2005-06-16
Grease Dance,X360,Misc,505 Games,505 Games,,0.16,0.11,,0.03,0.01,2011-10-18
Intellivision Lives!,PS2,Misc,Crave Entertainment,Realtime Associates,,0.16,0.08,,0.06,0.02,2003-11-20
World Series of Poker: Tournament of Champions 2007 Edition,X360,Misc,Activision,Left Field Productions,6.9,0.16,0.15,,0,0.01,2006-09-21
My Baby 3 & Friends,DS,Simulation,Majesco,Nobilis,,0.16,0.12,,0.02,0.01,2010-10-12
Battlestar Galactica,PS2,Simulation,VU Games,Warthog,,0.16,0.08,,0.06,0.02,2003-11-19
MotionSports: Adrenaline,PS3,Sports,Ubisoft,Ubisoft Vancouver,,0.16,0.08,,0.05,0.03,2011-11-01
NBA 2K3,GC,Sports,Sega,Visual Concepts,,0.16,0.12,,0.03,0,2002-10-07
